Newcastle City Council Invoices over £250 paid in June 2015,,,,,,,,,,
,,,,,,,,,,
Directorate,Service Area,Group Description,Paid Date,Supplier Name,Internal Ref,Cap/Rev,Cost Centre,Cost Centre Name,Total,
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,01/06/2015,AKW MEDI-CARE LTD,6586575,Revenue,1KBAA,Building Contracts,309.66,
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,01/06/2015,AKW MEDI-CARE LTD,6586596,Revenue,1KBAA,Building Contracts,277.37,
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,01/06/2015,AKW MEDI-CARE LTD,6586756,Revenue,1KBAA,Building Contracts,580.75,
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,22/06/2015,AKW MEDI-CARE LTD,6614761,Revenue,1KBAA,Building Contracts,533.98,
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,22/06/2015,AKW MEDI-CARE LTD,6614805,Revenue,1KBAA,Building Contracts,285.65,
Environment & Regeneration,Blacksmiths                            ,Supplies & Services,16/06/2015,ALAN CARR DESIGN & PRINT,6600993,Revenue,1KEMV,Blacksmiths,1980,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,16/06/2015,ALBANY HOUSE  (WHITLEY BAY),6611159,Revenue,1MM20,Residential Care MH,4855.8,
Environment & Regeneration,Fleet Management System                ,Supplies & Services,10/06/2015,ALBANY MOTORS,6598527,Revenue,1KESA,Heavy Workshop Routine Repair,560,
Chief Executive's,CD - Customer Service Centres    ,Supplies & Services,26/06/2015,ALBANY OFFICE FURNITURE SOLUTIONS,6621942,Revenue,1CC51,Civic Centre CSC,1615,
Chief Executive's,CD - SPAM Trading Account        ,Capital Expenditure,25/06/2015,ALBANY OFFICE FURNITURE SOLUTIONS,6586483,Capital,2FT14,Property Services,1560,
Chief Executive's,CD - SPAM Trading Account        ,Capital Expenditure,26/06/2015,ALBANY OFFICE FURNITURE SOLUTIONS,6621920,Capital,2FT14,Property Services,5997.5,
Chief Executive's,CD - SPAM Trading Account        ,Capital Expenditure,29/06/2015,ALBANY OFFICE FURNITURE SOLUTIONS,6621919,Capital,2FT14,Property Services,3127,
Chief Executive's,CD - SPAM Trading Account        ,Capital Expenditure,29/06/2015,ALBANY OFFICE FURNITURE SOLUTIONS,6622788,Capital,2FT14,Property Services,7851,
Children's Services,Childrens Services Support       ,Supplies & Services,25/06/2015,ALBANY OFFICE FURNITURE SOLUTIONS,6606382,Revenue,1MX08,Out of Hrs Soc Care Duty Team,529,
Environment & Regeneration,E&R Environmental Crime    ,Capital Expenditure,25/06/2015,ALBANY OFFICE FURNITURE SOLUTIONS,6570823,Capital,2FT14,Property Services,7851,
Environment & Regeneration,Fleet Management System                ,Supplies & Services,02/06/2015,ALEXANDER DENNIS LTD,6598616,Revenue,1KESH,Light Workshop Routine Repair,251.44,
Adult and Culture,Social Services                        ,Third Party Payments,42177,ALLAN COURT RESIDENTIAL HOME,6614593,Revenue,1MG01,Care Management OP,741.34,
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",16/06/2015,ALLAN COURT RESIDENTIAL HOME,6610994,Revenue,1MG10,Nursing Care OP,-3439.55,
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",16/06/2015,ALLAN COURT RESIDENTIAL HOME,6610994,Revenue,1MG20,Residential Care OP,-2633.92,
