Created as New Dataset,Sample 022 By Administrator Date Saturday, February 11 2017
cm-1,%T
2505.00,97.26
2504.00,97.30
2503.00,97.35
2502.00,97.40
2501.00,97.44
2500.00,97.49
2499.00,97.53
2498.00,97.58
2497.00,97.62
2496.00,97.65
2495.00,97.69
2494.00,97.72
2493.00,97.76
2492.00,97.79
2491.00,97.82
2490.00,97.84
2489.00,97.87
2488.00,97.88
2487.00,97.89
2486.00,97.91
2485.00,97.92
2484.00,97.93
2483.00,97.95
2482.00,97.97
2481.00,97.99
2480.00,98.01
2479.00,98.02
2478.00,98.04
2477.00,98.05
2476.00,98.05
2475.00,98.06
2474.00,98.07
2473.00,98.08
2472.00,98.09
2471.00,98.10
2470.00,98.11
2469.00,98.12
