"Name","Start date of trip","Duration of Visit (Days)","Destination","Purpose of trip","Mode of transport","Class of travel","Accomodation/Meals","Other (including hospitality given)","Total cost, including all visas, accommodation, travel, meals etc. ()","Total Cost of Use of Official Secure Car","Booked through"
"Owen, Mr. Marc",2016-10-14,"","","Travel to Workshop at Amadeus House","T&S - Planes, Trains and Automobiles","Standard/Economy","","",36,"",""
"Owen, Mr. Marc",2016-10-14,"","","Travel to Heathrow for workshop","T&S - Planes, Trains and Automobiles","Standard/Economy","","",5.9,"",""
"Sedwill, Mr. Mark",2016-10-14,"","St Albans Station","External Meeting","Rail","Standard","","",12.1,"","Redfern"
"Dottridge, Mr. Adrian Yme",2016-10-17,"","East Croydon","External Meeting","Rail","Standard","","",5.9,"","Redfern"
"Eastaugh, Mr. Tony",2016-10-17,"","London Heathrow","External Meeting","","","Hotel Room","",444.6,"","Redfern"
"Hills, Mr. Gareth David",2016-10-17,"","Delhi","External Meeting","Air Tickets","Business","","",115,"","Redfern"
"Ind, Mr. Hugh Timothy",2016-10-17,"","","Taxi Fare from International Conference at Kia Oval to Westminister","Taxis","","","",8,"",""
"Ind, Mr. Hugh Timothy",2016-10-17,"","","Travel to International Directorate Conference at Kia Oval","T&S - Planes, Trains and Automobiles","","","",1.5,"",""
"Morrison, Mr. Paul Noble Wilson",2016-10-17,"","","travel to a govt training event","Taxis","","","",12,"",""
"Morrison, Mr. Paul Noble Wilson",2016-10-17,"","Dorking Station","External Meeting","Rail","Standard","","",24.5,"","Redfern"
"Oppenheim, Mr. Jeremy",2016-10-17,"","","travel from external dinner with Polaris to 2 Marsham Street.","Taxis","","","",11.66,"",""
"Oppenheim, Mr. Jeremy",2016-10-17,"","","travel to home following external dinner with Polaris (after 21:00).","Taxis","","","",41.14,"",""
"Oppenheim, Mr. Jeremy",2016-10-17,"","","Dinner with officials from Polaris a US non profit organisation who are working with MSU on a new helpline for vicitms,Colleague Offer Stern-Weiner also attended","Canteens, Lunches, Vending","","","",208.96,"",""
"Tribe, Mr. Lee Kelvin",2016-10-17,"","Cardiff Central","External Meeting","Rail","Standard","","",183.5,"","Redfern"
"Williams, Ms. Wendy",2016-10-17,"","Bristol","External Meeting","Web Transaction","Economy","","",18,"","Redfern"
"Williams, Ms. Wendy",2016-10-17,"","Bristol","External Meeting","Web Transaction","Economy","","",45.24,"","Redfern"
"Cunningham, Mr. Michael Bernard",2016-10-18,"","London Euston","External Meeting","Rail","Standard","","",345,"","Redfern"
"Cunningham, Mr. Michael Bernard",2016-10-18,"","London Heathrow","External Meeting","","","Hotel Standard- One- King Size","",129.6,"","Redfern"
"Eastaugh, Mr. Tony",2016-10-18,"","Solihull","External Meeting","Rail","Standard","","",29.2,"","Redfern"
"Lloyd, Ms. Myrtle",2016-10-18,"","","taxi from home to railway station. No suitable public transport.","Taxis","","","",8,"",""
"Lloyd, Ms. Myrtle",2016-10-18,"","","Tube fare.","T&S - Planes, Trains and Automobiles","","","",2.4,"",""
