ENTITY,DATE,EXPENSE AREA ,EXPENSE TYPE,SUPPLIER,TRANSACTION_NUMBER,AMOUNT
HMCS,25-Mar-11,DZ999-South West Region,223513-Design/Print/Reprographic Services,XEROX (UK) LTD,1540668,"£26,415.94"
HMCS,30-Mar-11,BZ999-London Region,223513-Design/Print/Reprographic Services,XEROX (UK) LTD,1548199,"£37,396.71"
HMCS,04-Mar-11,DZ999-South West Region,223515-Postage & Distribution - Royal Mail,ROYAL MAIL,1515111,"£36,447.05"
HMCS,09-Mar-11,CZ999-South East Region,223515-Postage & Distribution - Royal Mail,ROYAL MAIL,1521491,"£26,224.07"
HMCS,30-Mar-11,HZ999-North East and Yorkshire,223525-Furniture - under capitalisation threshold,HM PRISON SERVICE,1547240,"£167,405.22"
HMCS,11-Mar-11,AR999-HMCS Central Budgets,223532-Pension advice & administration,GOVERNMENT ACTUARY'S DEPARTMENT,1523369,"£25,555.92"
HMCS,23-Mar-11,FZ999-Midlands Region,223533-Catering - Contracted services only,EUREST SERVICES,1537413,"£36,274.33"
HMCS,23-Mar-11,FZ999-Midlands Region,223533-Catering - Contracted services only,EUREST SERVICES,1537413,"£26,393.44"
HMCS,25-Mar-11,IZ999-RCJ Group,223536-IT Services incl Web Hosting,ATOS ORIGIN IT SERVICES UK LTD,1539809,"£128,469.60"
HMCS,16-Mar-11,FZ999-Midlands Region,223537-IT Servs maj contr Libra Apps & Int,CASTLE COMPUTER SERVICES LTD,336706,"£25,740.00"
HMCS,18-Mar-11,IZ999-RCJ Group,223537-IT Servs maj contr Libra Apps & Int,ATOS ORIGIN IT SERVICES UK LTD,1531437,"£33,330.00"
HMCS,25-Mar-11,HZ999-North East and Yorkshire,223537-IT Servs maj contr Libra Apps & Int,SPECIALIST COMPUTING,1540549,"£28,059.60"
HMCS,30-Mar-11,AV329-CP-Mag. Courts Operational Bus.sys,223537-IT Servs maj contr Libra Apps & Int,HP INFORMATION SECURITY,1547269,"£59,995.20"
HMCS,02-Mar-11,CZ999-South East Region,223541-Telecomms - Charges/Rental-non mobile,CABLE & WIRELESS GLOBAL CARD SERVICES,1511538,"£29,400.85"
HMCS,02-Mar-11,FZ999-Midlands Region,223541-Telecomms - Charges/Rental-non mobile,CABLE & WIRELESS GLOBAL CARD SERVICES,1511538,"£25,811.49"
HMCS,09-Mar-11,CZ999-South East Region,223541-Telecomms - Charges/Rental-non mobile,BT TELECOMMUNICATIONS PLC,1519853,"£57,425.55"
HMCS,09-Mar-11,BZ999-London Region,223541-Telecomms - Charges/Rental-non mobile,BT TELECOMMUNICATIONS PLC,1519853,"£139,322.22"
HMCS,11-Mar-11,FZ999-Midlands Region,223541-Telecomms - Charges/Rental-non mobile,BT TELECOMMUNICATIONS PLC,1523178,"£28,346.08"
HMCS,30-Mar-11,FZ999-Midlands Region,223541-Telecomms - Charges/Rental-non mobile,CABLE & WIRELESS GLOBAL CARD SERVICES,1546798,"£26,600.97"
HMCS,04-Mar-11,AV329-CP-Mag. Courts Operational Bus.sys,223560-DISC IT Application Costs,LOGICA UK LTD,1514880,"£34,713.60"
HMCS,09-Mar-11,AV322-CP Change Management SUPS,223560-DISC IT Application Costs,LOGICA UK LTD,1520327,"£83,110.80"
HMCS,09-Mar-11,AA499-HMCS Change Programme,223560-DISC IT Application Costs,LOGICA UK LTD,1520327,"£135,073.20"
HMCS,09-Mar-11,AV322-CP Change Management SUPS,223560-DISC IT Application Costs,LOGICA UK LTD,1520327,"£285,626.40"
HMCS,23-Mar-11,AV329-CP-Mag. Courts Operational Bus.sys,223560-DISC IT Application Costs,LOGICA UK LTD,1537703,"£27,679.20"
